term	definition	wiki_slug	source	glossary_status	bilingual_status	in_documentation	in_corporate	in_projects	notes
Accounting			runtime	runtime-term	en	true	true	false	
Auditor			runtime	runtime-term	en	true	true	false	
Bank			runtime	runtime-term	en	true	true	true	
Broadcom Driver Migration			runtime	runtime-term	en	false	false	false	
Capability-Based Manager			runtime	runtime-term	en	false	false	false	
Co-location			runtime	runtime-term	en	true	false	true	
Co-Location Mandate Expansion			runtime	runtime-term	en	false	false	false	
Collaborators			runtime	runtime-term	en	false	false	false	
Contributors			runtime	runtime-term	en	true	true	true	
Counsel			runtime	runtime-term	en	true	false	false	
Direct-Hold Solutions			runtime	runtime-term	en	true	true	false	
Finance			runtime	runtime-term	en	true	false	false	
Fixed Floor Plate			runtime	runtime-term	en	false	false	true	
Flow-Through Taxation			runtime	runtime-term	en	false	false	false	
Flow-Through Taxation Structuring			runtime	runtime-term	en	false	false	false	
Geometry of Sustainability			runtime	runtime-term	en	false	false	true	
Governance			runtime	runtime-term	en	true	true	true	
Institutional-Grade			runtime	runtime-term	en	false	false	true	
Leasing			runtime	runtime-term	en	true	false	false	
Microkernel			runtime	runtime-term	en	true	false	false	
Municipalities			runtime	runtime-term	en	false	false	true	
Perpetual Equity			runtime	runtime-term	en	false	true	false	
PointSav Digital Systems			runtime	runtime-term	en	true	true	true	
PointSav Digital Systems AG	The proprietary Trade Name of the digital infrastructure entity.		runtime	runtime-term	en	false	false	false	flag:AG-suffix — use PointSav Digital Systems per §4
Professional Services			runtime	runtime-term	en	true	false	false	
Q3 Capital Procurement			runtime	runtime-term	en	false	false	false	
Qualified Investment			runtime	runtime-term	en	false	false	false	
Sovereign Telemetry			runtime	runtime-term	en	false	false	false	
The Architect			runtime	runtime-term	en	true	true	true	
The Artisan			runtime	runtime-term	en	false	false	false	
The Catalyst			runtime	runtime-term	en	false	false	false	
The Constructor			runtime	runtime-term	en	true	false	false	
The Engineer			runtime	runtime-term	en	true	false	false	
The Envoy			runtime	runtime-term	en	false	false	false	
The Executive			runtime	runtime-term	en	true	false	false	
The Fiduciary			runtime	runtime-term	en	true	true	true	
The Guardian			runtime	runtime-term	en	true	false	false	
The Sage			runtime	runtime-term	en	false	false	false	
The Steward			runtime	runtime-term	en	false	false	false	
Totebox Archive			runtime	runtime-term	en	true	true	true	
Vertical Warehouses			runtime	runtime-term	en	false	false	true	
Woodfine Professional Centres			runtime	runtime-term	en	false	true	true	
AEC Community	*Comunidad AEC*	reference/glossary-documentation	wiki	canonical	en	false	false	false	
Artificial Intelligence or AI	*Inteligencia Artificial (IA)*	reference/glossary-documentation	wiki	canonical	en	false	false	false	
Blockchain	*Cadena de Bloques*	reference/glossary-documentation	wiki	canonical	en	true	false	false	
Book-Entry	*Anotación en Cuenta*	reference/glossary-documentation	wiki	canonical	en	false	false	false	
Building Connectivity	*Conectividad del Edificio*	reference/glossary-documentation	wiki	canonical	en	false	false	false	
Business Administration	*Administración de Empresas*	reference/glossary-documentation	wiki	canonical	en	false	false	false	
Cascading Style Sheet or CSS	*Hojas de Estilo en Cascada*	reference/glossary-documentation	wiki	canonical	en	false	false	false	
Cloud Computing	*Computación en la Nube*	reference/glossary-documentation	wiki	canonical	en	false	false	false	
Console OS	*SO de Consola*	reference/glossary-documentation	wiki	canonical	en	true	false	false	
Container	*Contenedor*	reference/glossary-documentation	wiki	canonical	en	true	false	true	
