term_en,term_es,definition,domain
10% Ownership,10% Propiedad,The specific equity stake retained by Woodfine Capital Projects Inc. across its direct-hold solutions,corporate
100% Beneficial Ownership,100% Propiedad Beneficiaria,Full ownership control of the underlying real estate assets,corporate
Access Funds,Fondos de Acceso,Investment funds providing international multi-generational capital with exposure to direct real estate through jurisdictional diversification.,corporate
Accredited Investors,Inversores Acreditados,Investors meeting wealth thresholds or professional qualifications,corporate
Activist Investing,Inversión Activista,An investment strategy where an investor actively influences a company's management or policies.,corporate
Admission Protocol,Protocolo de Admisión,A formal process for transferring ownership of listed Spanish SOCIMI shares.,corporate
Advisory Fee,Comisión de Asesoramiento,A charge for providing professional investment advice.,corporate
Agent,Agente,An authorized investment professional proposing qualified investments to the general partner.,corporate
algorithmic scraping,raspado algorítmico,The automated collection of data from public cloud networks by algorithms,corporate
Alignment of Principles,Alineación de Principios,The foundational congruence between long-term investor objectives and asset management strategies.,corporate
Allocation(s),Asignación(es),A distribution of investment capital across various assets or structures.,corporate
Alternative Investment(s),Inversión(es) Alternativa(s),Non-traditional asset classes such as private equity and direct real estate,corporate
ALTERNATIVE INVESTING,INVERSIÓN ALTERNATIVA,A header reference for sections on non-traditional asset classes.,corporate
Annual Information Form,Formulario Anual de Información,A comprehensive disclosure document filed annually by reporting entities.,corporate
Appraisals,Tasaciones,Professional valuations of real estate assets to determine their market value.,corporate
Arbitrage Advantage,Ventaja de Arbitraje,A pricing advantage for property investors in specific regional markets compared to others,corporate
Archetype — Explorer (Soul),Arquetipo — Explorador (Alma),A framework for understanding human motivations.,corporate
Archetype — Innocent (Ego),Arquetipo — Inocente (Ego),A framework for understanding human motivations.,corporate
Archetype — Magician (Self),Arquetipo — Mago (Ser),A framework for understanding human motivations.,corporate
Archetype — Orphan (Ego),Arquetipo — Huérfano (Ego),A framework for understanding human motivations.,corporate
Archetype — Rebel (Soul),Arquetipo — Rebelde (Alma),A framework for understanding human motivations.,corporate
Archetype — Sage (Self),Arquetipo — Sabio (Ser),A framework for understanding human motivations.,corporate
Archetypes,Arquetipos,Universal patterns of behavior and motivation used in narrative design.,corporate
Architectural Design Booklet,Folleto de Diseño Arquitectónico,A document detailing the structural and aesthetic design of a building project.,corporate
Architecture,Engineering and Construction (AEC) Community,Comunidad de Arquitectura,corporate
Arm’s-Length Distance,Distancia de Plena Competencia,A relationship where parties act independently and are not influenced by personal connections or conflicts of interest,corporate
Asset Class(es),Clase(s) de Activos,A group of investments with similar characteristics and risk/return profiles.,corporate
asset sale required for exit,venta de activos para salida,A characteristic of legacy investment structures where the liquidation of an investment necessitates the sale of the underlying asset,corporate
Asset Management,Gestión de Activos,The professional management of investment portfolios to meet financial objectives.,corporate
Asset Management Fees,Comisiones de Gestión de Activos,Fees charged by asset managers for their services,corporate
Asset Manager(s),Gestores de Activos,A professional responsible for managing investment portfolios. In direct-hold solutions,corporate
Assets Under Management,Activos Bajo Gestión,The total market value of all financial assets managed by a firm on behalf of clients.,corporate
Audit Committee,Comité de Auditoría,A committee overseeing financial reporting and internal controls.,corporate
Auditors,Auditores,Independent professionals who examine financial records to ensure accuracy and compliance.,corporate
Authorized Recipients,Receptores Autorizados,Individuals specifically permitted to receive confidential briefings,corporate
Banking Syndicate,Sindicato Bancario,A network of independent asset managers forming a syndicate to facilitate capital origination for direct-hold solutions.,corporate
Board of Directors,Junta Directiva,A governing body elected to represent shareholders' interests and oversee management.,corporate
British Columbia Securities Commission (BCSC),Comisión de Valores de Columbia Británica (BCSC),The principal securities regulator in British Columbia,corporate
build-and-hold asset,activo para construir y mantener,A property developed with the intention of being leased and held for the long term,corporate
built environment,entorno construido,The human-made surroundings that provide the setting for human activity,corporate
Bureaucracy or Administrative Economy,Burocracia o Economía Administrativa,A system characterized by rules,corporate
Canada,Canadá,The initial target market for Woodfine's direct-hold solutions.,corporate
Canada LP,Canada LP,An analytical designation for Woodfine's Canadian direct-hold solutions,corporate
Capital Markets Directives,Directivas de Mercados de Capitales,Regulatory guidelines governing financial markets and securities offerings.,corporate
capitalized interest permitted,intereses capitalizados permitidos,A financial practice where interest costs are added to the principal balance rather than expensed immediately,corporate
Cash Equivalents,Equivalentes de Efectivo,Highly liquid investments easily convertible to cash.,corporate
Cash Flow,Flujo de Caja,The movement of money into and out of a business,corporate
Cash Management Fees,Comisiones de Gestión de Efectivo,Fees available to independent asset managers due to equity carry,corporate
Cash-on Cash Return,Retorno en Efectivo,The ratio of annual pre-tax cash flow to the total cash invested.,corporate
CBFI,CBFI (Certificado Bursátil Fiduciario Inmobiliario),A specific equity trust certificate issued by a Mexican FIBRA.,corporate
Central Securities Depository,Depósito Central de Valores,A national ledger for holding and settling securities,corporate
Certificate,Título / Certificado,A document serving as evidence of ownership for investment units or shares.,corporate
Certificados Bursátiles Fiduciarios Inmobiliarios,Certificados Bursátiles Fiduciarios Inmobiliarios,Equity trust certificates issued by a Mexican FIBRA,corporate
CIRO 2026 cybersecurity standards,Estándares de Ciberseguridad CIRO 2026,Cybersecurity standards for information technology,corporate
Circular Economy,Economía Circular,An economic model minimizing waste and maximizing resource efficiency,corporate
Club Deal,Acuerdo de Club,A financing arrangement where a small group of investors directly fund a project,corporate
Club Deal Templates,Plantillas de Acuerdos de Club,Standardized structures for external investment vehicles used by non-resident asset managers and investors for direct cross-border investing.,corporate
co-location blueprint,plan de coubicación,A strategic mandate to validate regional economic strength by developing professional centres directly adjacent to existing power centres,corporate
co-location mandate,mandato de coubicación,A strict qualified investment requirement targeting regional markets to procure and develop professional office buildings directly adjacent to major national retailers,corporate
Collective Consciousness,Conciencia Colectiva,Shared beliefs and moral attitudes,corporate
Commercial Bankers,Banqueros Comerciales,Professionals providing banking services to businesses.,corporate
Commercial Mortgage-Backed Securities (CMBS),Valores Respaldados por Hipotecas Comerciales (CMBS),Investment-grade bonds backed by commercial mortgages,corporate
Common Equity,Capital Ordinario,A standard class of equity providing proportionate ownership in a company.,corporate
Commodities,Materias Primas,Raw materials or primary agricultural products that can be bought and sold.,corporate
Compensation Committee,Comité de Compensación,A committee determining executive and employee remuneration.,corporate
comprehensive regulated reporting,reporte regulado completo,Adherence to rigorous regulatory standards for financial disclosures and reporting,corporate
Compound Growth Rates,Tasas de Crecimiento Compuesto,The average annual growth rate of an investment over a specified period.,corporate
Console OS™,Console OS™,The direct human interface of PointSav Digital Systems,corporate
Construction Trades,Oficios de Construcción,Skilled occupations involved in the construction of buildings.,corporate
Contribution to Overhead,Contribución a los Gastos Generales,The amount of revenue remaining after variable costs,corporate
Contributors,Colaboradores,Individuals or entities providing content,corporate
Control Editor,Editor de Control,An editor responsible for maintaining the integrity and compliance of content.,corporate
Corporate Biography,Biografía Corporativa,A document outlining the history and background of a company.,corporate
Corporate Brochure,Folleto Corporativo,A marketing document providing an overview of a company and its offerings.,corporate
Corporate Secretary,Secretario Corporativo,An officer responsible for maintaining corporate records and ensuring compliance.,corporate
Corporate Structure,Estructura Corporativa,The legal framework organizing a company's ownership,corporate
Corporate Wiki,Wiki Corporativa,An internal knowledge base for organizational information and protocols.,corporate
Corporate Wiki Glossary,Glosario de la Wiki Corporativa,A lexicon of terms and definitions specific to a company's operations.,corporate
cost-plus reality,realidad de costo más margen,A financial framework where the operating structure functions on cost plus a fixed fee,corporate
Cost to Complete,Costo para Completar,The estimated remaining expenses to finish a project.,corporate
Cost-Plus,Costo Más Margen,A pricing strategy where the final price is determined by adding a fixed percentage or amount to the total cost.,corporate
Costing Email,Correo de Costos,An electronic communication detailing project expenditures or pricing.,corporate
Creative Designer,Diseñador Creativo,A professional responsible for visual concepts and aesthetic execution.,corporate
Credit Products,Productos de Crédito,Financial instruments offered by lenders,corporate
custodial control,control de custodia,The direct ability for investors to hold their investment units in standard brokerage accounts,corporate
cyber-physical defense,defensa ciberfísica,The integrated protection of physical assets and their digital data,corporate
Cyclical Funding Model,Modelo de Financiamiento Cíclico,A traditional funding approach where stabilized assets secure new debt for subsequent development,corporate
Daisy Chain,Cadena Margarita,A sequence of interconnected entities or transactions,corporate
Data Marketplace,Mercado de Datos,A platform for buying and selling data,corporate
data mesh,malla de datos,A decentralized data architecture where data is treated as a product,corporate
Debt Right of First Refusal,Derecho de Preferencia en Deuda,The right to purchase or assume exchange-traded debt before it is offered to other parties,corporate
Debt to Asset,Deuda a Activos,A financial leverage ratio indicating the proportion of a company's assets financed by debt.,corporate
Debt-to-Asset Value,Valor de Deuda a Activos,The ratio of total debt to the total value of assets,corporate
Department Store,Tienda Departamental,A retail establishment offering a wide range of consumer goods.,corporate
Developer,Desarrollador,An entity responsible for planning,corporate
Development Classes,Clases de Desarrollo,Categories of real estate development projects based on type or scale.,corporate
Development Costs,Costos de Desarrollo,All expenditures incurred during the planning and construction of a project,corporate
development cycle,ciclo de desarrollo,The period encompassing initial construction,corporate
Development Markets,Mercados en Desarrollo,Geographic areas characterized by ongoing growth and construction activities.,corporate
Development Sites,Sitios de Desarrollo,Land designated for future construction projects,corporate
Didactic Method,Método Didáctico,An instructional approach focused on teaching information or skills directly.,corporate
Digital Transformation,Transformación Digital,The systemic shift to digital technologies,corporate
Diode Standard,Estándar de Diodo,A universal one-way command flow from source to endpoint,corporate
direct-hold solutions (operating structures),soluciones de tenencia directa (estructuras operativas),Foundational operating structures that own physical assets,corporate
direct-hold solutions,soluciones de tenencia directa,Operating structures that bypass layered investment funds,corporate
Direct Real Estate Exposure,exposición directa a bienes raíces,Direct investment in physical real estate assets,corporate
Distributable Income,Ingresos Distribuibles,The basis for income distributions and the 10% unit buyback program in direct-hold solutions.,corporate
Distributed Economy,Economía Distribuida,An economic model where production and consumption are decentralized,corporate
Distribution Requirements,Requisitos de Distribución,Mandates governing how income or profits are allocated to investors.,corporate
Distribution Yield,Rendimiento de Distribución,The annual income generated by an investment relative to its current market price.,corporate
Distributions or Dividends,Distribuciones o Dividendos,Payments made to investors from a company's earnings or cash flow.,corporate
Domestic Investor Alignment,Alineación de Inversores Nacionales,The structuring of investment vehicles to align with the regulatory and tax requirements of domestic residents.,corporate
Edge Computing,Computación en el Borde,The processing of data closer to its source,corporate
Efficient Frontier,Frontera Eficiente,A set of optimal portfolios offering the highest expected return for a given level of risk.,corporate
Electronic Data Gathering,Analysis,and Retrieval (EDGAR),corporate
Electronic Filing System,Sistema de Presentación Electrónica,A digital platform for submitting regulatory documents and disclosures.,corporate
Electronic Matching,Emparejamiento Electrónico,A trading mechanism used for listed Spanish SOCIMI shares,corporate
Eligible as Collateral,Elegible como Garantía,Qualifies to be pledged as security for a loan,corporate
Emisora (Unlisted),Emisora (No Cotizada),An unlisted issuer in Mexico with mandatory filing obligations,corporate
Entidad Pública,Entidad Pública,A public entity in Spain with mandatory filing obligations,corporate
Environmental Performance,Rendimiento Ambiental,Baseline criteria for energy efficiency,corporate
Environmental,Social,Governance (ESG),corporate
equity carry,participación en el capital,A financial mechanism that makes cash management fees available to asset managers,corporate
equity-based compensation (parent company),compensación basada en acciones (empresa matriz),Revenue generated by Woodfine Capital Projects Inc. from the investment units it holds across direct-hold solutions,corporate
equity-based compensation,compensación basada en acciones,Remuneration for employees or developers provided in the form of company shares or units,corporate
equity-based developer compensation,compensación del desarrollador basada en acciones,Developer compensation structured as an equity stake rather than cash,corporate
Esoteric,Esotérico,Intended for or likely to be understood by only a small number of people with specialized knowledge.,corporate
Exchange-Qualified,Calificado para Bolsa,Meeting public exchange standards without requiring an immediate listing,corporate
Exchange-Traded,Negociada en Bolsa,Actively bought and sold on an exchange,corporate
Exchange Traded Funds (ETFs),Fondos Cotizados en Bolsa (ETF),Investment funds traded on stock exchanges like individual stocks.,corporate
Executive Officer,Oficial Ejecutivo,A senior management professional responsible for key operational or strategic functions.,corporate
Executive Summary,Resumen Ejecutivo,A concise overview of a document's main points,corporate
Exit Strategy,Estrategia de Salida,A plan for investors to liquidate an investment,corporate
FIBRA,FIBRA,A flow-through trust vehicle in Mexico,corporate
FINANCIAL MODEL,MODELO FINANCIERO,A header reference for sections outlining economic structures and projections.,corporate
Financial Forecast,Pronóstico Financiero,Forward-looking financial modeling and projections for investment performance.,corporate
Financial Officer,Oficial Financiero,A senior executive responsible for managing the financial actions of a company.,corporate
Financial Statements,Estados Financieros,Formal records of a company's financial activities and position,corporate
financing shortfall,déficit de financiación,A structural gap where traditional commercial banking does not adequately service construction needs in regional markets,corporate
