term_en,term_es,definition,domain
PointSav Information Systems AG or PointSav Digital Systems AG,,,documentation
PointSav.com,,,documentation
PointSav,,,documentation
.EXE,,,documentation
.FIN,,,documentation
.PUB,,,documentation
Administration Panel or System Administrator or Control Panel or System Preferences,,,documentation
Administration Suite,,,documentation
AEC Community,,,documentation
AI Bots,,,documentation
Alfred P. Sloan,,,documentation
Apache Web Server,,,documentation
App – Building ID,,,documentation
App – Community,,,documentation
App – Workplace OS,,,documentation
Applications,,,documentation
Artificial Intelligence or AI,,,documentation
Assignments,,,documentation
Audience Data,,,documentation
Audit Trail,,,documentation
Authentication,,,documentation
Backup,,,documentation
Bare Metal Resources,,,documentation
Berkeley Software Distribution or FreeBSD,,,documentation
Big Tech or Big Tech Ecosystem or Ring Fence,,,documentation
Blockchain,,,documentation
Bootable Disk Image,,,documentation
Building Connectivity,Conectividad del Edificio,Future-focused tech integration.,documentation
Building Router,,,documentation
Business Administration,,,documentation
Business Software,,,documentation
Buying Program,,,documentation
Cascading Style Sheet or CSS,,,documentation
CCTV Data Collection,,,documentation
Chart of Accounts,,,documentation
Cloud Computing,,,documentation
Collaborators,,,documentation
Command Line Interface,,,documentation
Commits,,,documentation
Community Members,,,documentation
Configuration,,,documentation
Console OS – BIM,,,documentation
Console OS – Building Preferences,,,documentation
Console OS – F*Keys,,,documentation
Console OS – Input Machine,,,documentation
Console OS – Maps,,,documentation
Console OS – Marketplace,,,documentation
Console OS – Systems Administrator,,,documentation
Console OS,,,documentation
Contact Us,,,documentation
Container Orchestration – OS Level Virtualization,,,documentation
Container Orchestration – Platform for Containerized APPs,,,documentation
Container,,,documentation
Content Creation,,,documentation
Content Management System (CMS),,,documentation
Contributors,,,documentation
Cookies Notification,,,documentation
Cookies Preferences,,,documentation
Cookies,,,documentation
Creative Design,,,documentation
Customer Relationship Management (CRM),,,documentation
Customers,,,documentation
Data Entry,,,documentation
Data Migration,,,documentation
Decentralized Network,,,documentation
Design System Components,,,documentation
Design System,,,documentation
Device-based Permissions,,,documentation
DevOps,,,documentation
Investor Relations,,,documentation
Digital Transformation,,,documentation
Digital Twin,,,documentation
Disclaimer,,,documentation
Distributed Network,,,documentation
Docker,,,documentation
Documentation,,,documentation
Downstream,,,documentation
e-Commerce,,,documentation
Economic Model,,,documentation
Edge Computing,,,documentation
Enterprise Resource Management (ERP),,,documentation
Enterprise User,,,documentation
Enterprise,,,documentation
File System,,,documentation
Financial Community,,,documentation
First-party Data,,,documentation
Fog Computing,,,documentation
Fork,,,documentation
Freely Transferable,,,documentation
FreshRSS,,,documentation
Geo-Spatial,,,documentation
Geometric Security,,,documentation
GitHub – PointSav,,,documentation
GitHub – WCP,,,documentation
GitHub,,,documentation
Graphic Design,,,documentation
HTML,,,documentation
Infrastructure OS,,,documentation
Installation Guide,,,documentation
Interface OS – BIM Server,,,documentation
Interface OS – Command Centre,,,documentation
Interface OS – Data Engine,,,documentation
Interface OS – GIS Engine,,,documentation
Interface OS – IoT Connect,,,documentation
Interface OS,,,documentation
IoT Connect,,,documentation
IoT Devices,,,documentation
IoT Device Providers,,,documentation
IoT Sensors,,,documentation
IT Support,,,documentation
Jawbone,,,documentation
Key Note Slides,,,documentation
Kubernetes,,,documentation
LaTeX,,,documentation
Leased Server Resources,,,documentation
Licensing Agreement,,,documentation
Local Administrators,,,documentation
Login,,,documentation
LoRa,,,documentation
Machine Authorization,,,documentation
MAN Files or MAN.txt,,,documentation
MariaDB,,,documentation
Marketing Directory,,,documentation
